Level,Slot,HP,MP,PhysAtk,MagicAtk,PhysDef,MagicDef,Spd,Luck
13,4,198,58,37,34,34,34,56,46
14,1,256,67,67,23,36,23,37,18
14,2,174,131,21,62,23,49,52,34
14,3,253,85,51,36,49,36,35,17
14,4,207,62,39,36,36,36,59,49
15,1,268,71,71,24,38,24,38,19
15,2,182,138,22,66,24,52,54,36
15,3,264,90,54,38,52,38,36,18
15,4,216,66,41,38,38,38,62,52
16,1,280,75,75,25,40,25,39,20
16,2,190,145,23,70,25,55,56,38
16,3,275,95,57,40,55,40,37,19
16,4,225,70,43,40,40,40,65,55
17,1,292,79,79,26,42,26,40,21
17,2,198,152,24,74,26,58,58,40
17,3,286,100,60,42,58,42,38,20
17,4,234,74,45,42,42,42,68,58
18,1,304,83,83,27,44,27,41,22
18,2,206,159,25,78,27,61,60,42
18,3,297,105,63,44,61,44,39,21
18,4,243,78,47,44,44,44,71,61
19,1,316,87,87,28,46,28,42,23
19,2,214,166,26,82,28,64,62,44
19,3,308,110,66,46,64,46,40,22
19,4,252,82,49,46,46,46,74,64
20,1,328,91,91,29,48,29,43,24
20,2,222,173,27,86,29,67,64,46
20,3,319,115,69,48,67,48,41,23
20,4,261,86,51,48,48,48,77,67
21,1,340,95,95,30,50,30,44,25
21,2,230,180,28,90,30,70,66,48
21,3,330,120,72,50,70,50,42,24
21,4,270,90,53,50,50,50,80,70
22,1,352,99,99,31,52,31,45,26
22,2,238,187,29,94,31,73,68,50
22,3,341,125,75,52,73,52,43,25
22,4,279,94,55,52,52,52,83,73
23,1,364,103,103,32,54,32,46,27
23,2,246,194,30,98,32,76,70,52
23,3,352,130,78,54,76,54,44,26
23,4,288,98,57,54,54,54,86,76
24,1,376,107,107,33,56,33,47,28
24,2,254,201,31,102,33,79,72,54
24,3,363,135,81,56,79,56,45,27
24,4,297,102,59,56,56,56,89,79
25,1,388,111,111,34,58,34,48,29
25,2,262,208,32,106,34,82,74,56
25,3,374,140,84,58,82,58,46,28
25,4,306,106,61,58,58,58,92,82
26,1,400,115,115,35,60,35,49,30
26,2,270,215,33,110,35,85,76,58
26,3,385,145,87,60,85,60,47,29
26,4,315,110,63,60,60,60,95,85
27,1,412,119,119,36,62,36,50,31
27,2,278,222,34,114,36,88,78,60
27,3,396,150,90,62,88,62,48,30
27,4,324,114,65,62,62,62,98,88
28,1,424,123,123,37,64,37,51,32
28,2,286,229,35,118,37,91,80,62
28,3,407,155,93,64,91,64,49,31
28,4,333,118,67,64,64,64,101,91
29,1,436,127,127,38,66,38,52,33
29,2,294,236,36,122,38,94,82,64
29,3,418,160,96,66,94,66,50,32
29,4,342,122,69,66,66,66,104,94
30,1,448,131,131,39,68,39,53,34
30,2,302,243,37,126,39,97,84,66
30,3,429,165,99,68,97,68,51,33
30,4,351,126,71,68,68,68,107,97
31,1,460,135,135,40,70,40,54,35
31,2,310,250,38,130,40,100,86,68
31,3,440,170,102,70,100,70,52,34
31,4,360,130,73,70,70,70,110,100
32,1,472,139,139,41,72,41,55,36
32,2,318,257,39,134,41,103,88,70
32,3,451,175,105,72,103,72,53,35
32,4,369,134,75,72,72,72,113,103
33,1,484,143,143,42,74,42,56,37
33,2,326,264,40,138,42,106,90,72
33,3,462,180,108,74,106,74,54,36
33,4,378,138,77,74,74,74,116,106
34,1,496,147,147,43,76,43,57,38
34,2,334,271,41,142,43,109,92,74
34,3,473,185,111,76,109,76,55,37
34,4,387,142,79,76,76,76,119,109
35,1,508,151,151,44,78,44,58,39
35,2,342,278,42,146,44,112,94,76
35,3,484,190,114,78,112,78,56,38
35,4,396,146,81,78,78,78,122,112
36,1,520,155,155,45,80,45,59,40
36,2,350,285,43,150,45,115,96,78
36,3,495,195,117,80,115,80,57,39
36,4,405,150,83,80,80,80,125,115
37,1,532,159,159,46,82,46,60,41
37,2,358,292,44,154,46,118,98,80
37,3,506,200,120,82,118,82,58,40
37,4,414,154,85,82,82,82,128,118
38,1,544,163,163,47,84,47,61,42
38,2,366,299,45,158,47,121,100,82
38,3,517,205,123,84,121,84,59,41
38,4,423,158,87,84,84,84,131,121
39,1,556,167,167,48,86,48,62,43
39,2,374,306,46,162,48,124,102,84
39,3,528,210,126,86,124,86,60,42
39,4,432,162,89,86,86,86,134,124
40,1,568,171,171,49,88,49,63,44
40,2,382,313,47,166,49,127,104,86
40,3,539,215,129,88,127,88,61,43
40,4,441,166,91,88,88,88,137,127
41,1,580,175,175,50,90,50,64,45
41,2,390,320,48,170,50,130,106,88
41,3,550,220,132,90,130,90,62,44
41,4,450,170,93,90,90,90,140,130
42,1,592,179,179,51,92,51,65,46
42,2,398,327,49,174,51,133,108,90
42,3,561,225,135,92,133,92,63,45
42,4,459,174,95,92,92,92,143,133
43,1,604,183,183,52,94,52,66,47
43,2,406,334,50,178,52,136,110,92
43,3,572,230,138,94,136,94,64,46
43,4,468,178,97,94,94,94,146,136
44,1,616,187,187,53,96,53,67,48
44,2,414,341,51,182,53,139,112,94
44,3,583,235,141,96,139,96,65,47
44,4,477,182,99,96,96,96,149,139
45,1,628,191,191,54,98,54,68,49
45,2,422,348,52,186,54,142,114,96
45,3,594,240,144,98,142,98,66,48
45,4,486,186,101,98,98,98,152,142
46,1,640,195,195,55,100,55,69,50
46,2,430,355,53,190,55,145,116,98
46,3,605,245,147,100,145,100,67,49
46,4,495,190,103,100,100,100,155,145
47,1,652,199,199,56,102,56,70,51
47,2,438,362,54,194,56,148,118,100
47,3,616,250,150,102,148,102,68,50
47,4,504,194,105,102,102,102,158,148
48,1,664,203,203,57,104,57,71,52
48,2,446,369,55,198,57,151,120,102
48,3,627,255,153,104,151,104,69,51
48,4,513,198,107,104,104,104,161,151
49,1,676,207,207,58,106,58,72,53
49,2,454,376,56,202,58,154,122,104
49,3,638,260,156,106,154,106,70,52
49,4,522,202,109,106,106,106,164,154
50,1,688,211,211,59,108,59,73,54
50,2,462,383,57,206,59,157,124,106
50,3,649,265,159,108,157,108,71,53
50,4,531,206,111,108,108,108,167,157
